NÂ°,Codigo Nacional,Codigo OACI,Nombre,Latitud,Longitud,Altitud (Mts),Altura Minima (Mts),Propietario,Fecha Creacion,Tipo,Clasificacion,Zona Geografica,Region,Emite METAR,Emite SYNOP,Paisaje,Operador
341,320019  ,,San Felipe Escuela Agricola,-32.75528,-70.70694,662,0,DMC,01-04-1962,Automatica,Climatologica,Valle,Valparaiso,No,No,"Zona urbana, actividad agricola.",Miguel Cuevas Moraga
342,320020  ,,San Felipe ejercito,-32.75000,-70.72083,657,0,DMC,01-10-1967,Convencional,Pluviometrica,Valle,Valparaiso,No,No,"Rio Aconcagua Oeste 2 Km, zona urbana rodeada de predios agricolas.",Funcionario Ejercito de Chile
343,320021  ,,San Felipe particular,-32.74278,-70.73639,636,0,DMC,01-01-1970,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector Urbano,Neftai Cifuentes Celedon
344,320022  ,,San Felipe D.O.S.,-32.75306,-70.73750,635,0,DMC,01-10-1924,Convencional,Pluviometrica,Valle,Valparaiso,No,No,"Hacia el Este sector urbano, Hacia el Oeste cerros a 1 Km de 900 mtrs de altura aprox.",Funcionario D.O.S.
345,320023  ,,Puchuncavi hacienda,-32.72944,-71.41944,29,0,DMC,01-09-1932,Convencional,Pluviometrica,Litoral,Valparaiso,No,No,"Sector costero, zona agricola",Fabian Pinilla
346,320024  ,,Curimon Escuela Agricola,-32.78444,-70.68778,716,0,DMC,01-01-1969,Convencional,TermoPluviometrica,Valle,Valparaiso,No,No,"Cerro San Francisco 1 Km al sur, cerro al NO a 3 Km, rio Aconcagua 500 Mtrs al sur",Edia Zuniga Miranda
347,320025  ,SCER,"Quintero, Estacion Aeronautica",-32.78889,-71.52555,13,0,DMC,01-06-1950,Convencional,Sinoptica,Litoral,Valparaiso,No,No,"Sector urbano, 600 mtrs al norte muelle de Quintero.",Juan Angulo Olivos
348,320026  ,,San Esteban reten,-32.80111,-70.58167,841,0,DMC,01-05-1962,Convencional,Pluviometrica,Valle,Valparaiso,No,No,"Sector urbano rodeado de predios agricolas, rio Aconcagua 2,5 km al SW.",Carabineros de Chile
349,320027  ,,"La Calera, D.O.S",-32.79000,-71.17278,235,0,DMC,01-01-1912,Convencional,Pluviometrica,Valle,Valparaiso,No,No,"Ruta 5 Norte a 250 mtrs al NE, rio Aconcagua 400 mtrs al Sur",Juan Luxardo Gonzalez
350,320028  ,,"La Cruz, INIA",-32.82805,-71.22667,176,0,INIA,01-05-1959,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector urbano, rodeado de abundante vegetacion y predios agricolas.",Est. Automatica
351,320029  ,,Los Andes comisaria,-32.83333,-70.60417,826,0,DMC,01-05-1962,Convencional,Pluviometrica,PreCordillera,Valparaiso,No,No,"Rio Aconcagiua 1.500 mtrs al Norte, Cerro la virgen 900 mtrs al Este",Carabineros de Chile
352,320030  ,,Llay Llay Sendos,-32.83889,-70.97361,386,0,DMC,01-03-1941,Convencional,TermoPluviometrica,Valle,Valparaiso,No,No,"Sector urbano rodeado de predios agricolas,",Romeo Ibacache Rodriguez
353,320031  ,,Calle Larga tenencia,-32.85583,-70.62667,788,0,DMC,01-05-1962,Convencional,Pluviometrica,PreCordillera,Valparaiso,No,No,Zona rodeada de predios agricolas y de cerros cordilleranos,Carabineros de Chile
354,320032  ,,Rinconada reten,-32.83722,-70.68833,728,0,DMC,01-05-1962,Convencional,Pluviometrica,PreCordillera,Valparaiso,No,No,Valle rodeado de predios agricolas y cerros cordilleranos,Carabineros de Chile
355,320033  ,,Saladillo tenencia,-32.93472,-70.28278,"1,582",0,DMC,01-05-1941,Convencional,Pluviometrica,Cordillera,Valparaiso,No,No,Sector cordillerano,Carabineros de Chile
356,320034  ,,Radio Faro El Tabon,-32.93278,-70.81972,842,0,DMC,01-08-1962,Convencional,Pluviometrica,Valle,Valparaiso,No,No,"Valle rodeado de cerros, 6oo mtrs al este ruta 5 Norte",Alfredo Verdejo
357,320035  ,,El Tambo San Felipe ( Tocornal ),-32.75528,-70.70639,672,0,DMC,01-05-1980,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Valle rodeado de cerros y predios agricolas,Luis Cordero Espinoza
358,320036  ,,Zapallar reten,-32.55583,-71.45444,82,0,DMC,01-10-1962,Convencional,Pluviometrica,Litoral,Valparaiso,No,No,Estacion ubicada a 100 mtrs de la playa Zapallar,Carabineros de Chile
359,320037  ,,Cuesta Chacabuco reten,-32.91972,-70.67500,930,0,DMC,01-05-1962,Convencional,Pluviometrica,PreCordillera,Valparaiso,No,No,Sector rodeado de cerros de aprox. 1300 mtrs altura,Carabineros de Chile
360,320039  ,,"El Cobre, fundo Sta. Maria Pullally",-32.43667,-71.35361,57,0,DMC,01-01-1921,Convencional,Pluviometrica,Litoral,Valparaiso,No,No,Cerros costeros,Juan Reinoso Allendes
361,320040  ,,Montemar,-32.95111,-71.53583,152,0,DMC,01-01-1958,Convencional,Climatologica,Litoral,Valparaiso,No,No,Sector costero.,Bernardo Malet Retamales
362,320041  ,SCVM,Vina del Mar Ad. (Torquemada),-32.94944,-71.47611,141,"2,88",DMC,01-12-1988,Mixta,Aeronautica,Litoral,Valparaiso,Si,No,"Sector irregular con pequenos cerros, costa 6 km al oeste.",Funcionario D.G.A.C.
363,320042  ,,Petorca,-32.27694,-70.96694,461,0,DMC,01-12-1992,Convencional,AgroMeteorologica,Valle,Valparaiso,No,No,"Valle rodeado de cerros de aprox. 1.100 mtrs altura, sector rodeado de vegetacion.",Maria Barros Torres
364,320043  ,,Cabildo,-32.44639,-70.94750,319,0,DMC,01-12-1992,Convencional,AgroMeteorologica,Valle,Valparaiso,No,No,Valle rodeado de predios agricolas y cerros de aprox. 500 mtrs altura.,Sandra Lever
365,320044  ,,La Ligua,-32.47583,-71.37500,76,0,DMC,05-12-1992,Convencional,AgroMeteorologica,Secano Costero,Valparaiso,No,No,Sector rural,Juana Mendez Fuentes.
366,320045  ,,"Llay Llay, Las Penas",-32.88139,-70.91305,436,0,DMC,01-01-1993,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector Agricola, Valle rodeado de cerros de promedio aprox 800 mtrs.",Patricio Herrera
367,320046  ,,Calle Larga (FDF),-32.85333,-70.62500,791,0,FDF,01-04-1993,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector agricola, 3 Km al Oeste, Cerro Castillo.",Est. Automatica FDF
368,320047  ,,La Petorquina,-32.28028,-71.02111,402,0,DMC,09-05-1994,Convencional,AgroMeteorologica,Valle,Valparaiso,No,No,"Valle rodeado de cerros de aprox. 900 mtrs de altura, rio petorca 100 mtrs al sur.",Mario Azocar Rosas
369,320048  ,,Longotoma Liceo Agricola,-32.39305,-71.37167,26,0,DMC,01-07-1995,Convencional,AgroMeteorologica,Secano Costero,Valparaiso,No,No,Sector Costero,Adolfo Aldunate Padilla
370,320049  ,,Chincolco Liceo agricola,-32.22250,-70.83167,665,0,DMC,01-07-1996,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector urbano rodeado de predios agricolas y cerros de aprox 900 mtrs de altura.,Est. automatica (Red Basica Naciona) Srta. Angela Araya Castro
371,320050  ,,Nogales Liceo agricola (FDF),-32.73361,-71.20417,228,0,FDF,01-11-1997,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector urbano,Est. Automatica FDF
372,320051  ,,Los Libertadores,-32.84555,-70.11917,"2,955",0,DMC,01-01-1998,Automatica,Climatologica,Cordillera,Valparaiso,No,No,Sector cordillerano,Automatica (Red Basica)
373,320055  ,,Catemu,-32.75889,-70.94278,443,0,DMC,18-10-2001,Automatica,Climatologica,Valle,Valparaiso,No,No,"Ubicada en las afueras de Catemu, en los faldeos de cerro Catemu",Raul Santibanez Villanueva
374,320056  ,,"Quintero, Climatologica",-32.78417,-71.52278,5,0,DMC,18-04-2018,Automatica,Climatologica,Litoral,Valparaiso,No,No,"Sector costero, al norte a 40 mtrs playa Loncura.",Fuerza Aerea de Chile
375,320063  ,,Zapallar Catapilco,-32.56139,-71.29778,81,0,DMC,17-06-2016,Automatica,Climatologica,Valle,Valparaiso,No,No,Valle rodeado de predios agricolas,Est. Automatica (Red Basica)
376,320064  ,,El Soldado - DCP,-32.00667,-70.32139,"3,29",0,DGA,01-10-1969,Automatica,Climatologica,Valle,Coquimbo,No,No,Laguna del Pelado a 3.5 Km al Este de la estacion met.,Est. Automatica
377,320065  ,,Rio Sobrante en Pinadero,-32.22917,-70.71639,"1,3",0,DGA,01-04-2012,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Rodeado de montanas, poca vegetacion.",Est. Automatica
378,320066  ,,Rio Petorca en Hierro Viejo,-32.27861,-70.98889,450,0,DGA,01-09-2003,Automatica,Climatologica,Valle,Valparaiso,No,No,Poca vegetacion.,Est. Automatica
379,320067  ,,Rio Alicahue en Colliguay,-32.33083,-70.73778,780,0,DGA,01-07-2003,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Rodeada de montanas, poca vegetacion.",Est. Automatica
380,320068  ,,Rio Putaendo en Resguardo Los Patos,-32.50167,-70.58111,"1,218",0,DGA,01-11-2001,Automatica,Climatologica,Cordillera,Valparaiso,No,No,Embalse Chacrillas a 2.6 Km Oeste de la estacion met. Predios agricola al Este de la estacion met.,Est. Automatica
381,320069  ,,Puchuncavi,-32.75500,-71.34333,179,0,INIA,01-01-2017,Automatica,Climatologica,Valle,Valparaiso,No,No,"Ubicada en la localidad de Pucalan, poca vegetacion.",Est. Automatica
382,320070  ,,Rio Aconcagua en San Felipe,-32.75750,-70.73667,650,0,DGA,01-08-1999,Automatica,Climatologica,Valle,Valparaiso,No,No,"Al oeste sector desertico, al Este se encuentra la ciudad.",Est. Automatica
383,320071  ,,Canal Colorado en Bocatoma,-32.83694,-70.35528,"1,345",0,DGA,01-04-2014,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Rodeado de montanas, poca vegetacion.",Est. Automatica
384,320072  ,,Rio Aconcagua en Romeral,-32.84000,-71.02555,365,0,DGA,01-05-2002,Automatica,Climatologica,Valle,Valparaiso,No,No,"Predios agricolas al Norte, al Sur abundante vegetacion.",Est. Automatica.
385,320073  ,,Portillo - DCP DGA,-32.84444,-70.11083,3,0,DGA,01-08-1951,Automatica,Climatologica,Cordillera,Valparaiso,No,No,Ubicado entre sector montanoso.,Est. Automatica
386,320074  ,,Rio Aconcagua en Chacabuquito,-32.85055,-70.50944,950,0,DGA,01-08-1999,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Al Norte montanas, al Sur predios agricolas.",Est. Automatica
387,320075  ,,Vilcuya,-32.86028,-70.47167,"1,1",0,DGA,01-12-1964,Automatica,Climatologica,Cordillera,Valparaiso,No,No,"Al Este de la estacion, predios agricolas al Oeste montanoso",Est. Automatica
388,320076  ,,Rio Juncal en Juncal,-32.87028,-70.14722,"1,8",0,DGA,01-10-2014,Automatica,Climatologica,Cordillera,Valparaiso,No,No,"Rodeado de montanas, sin vegetacion.",Est. Automatica
389,320077  ,,Rio Aconcagua en Rio Blanco,-32.91028,-70.30722,"1,42",0,DGA,01-04-2014,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Se encuantra en la localidad de Rio Blanco, rodeado de montanas.",Est. Automatica
390,320078  ,,Quillota,-32.89611,-71.20639,130,0,DGA,01-11-1977,Automatica,Climatologica,Valle,Valparaiso,No,No,Rodeado de predios agricolas.,Est. Automatica
391,320080  ,,Petorca Palquico,-32.25694,-71.14167,484,0,FDF,11-10-2019,Automatica,Climatologica,Litoral,Valparaiso,No,No,Sector con muy poca vegetacion.,Estacion Automatica (FDF)
392,320081  ,,La Ligua Pullancon,-32.30694,-71.23083,93,0,FDF,14-10-2019,Automatica,Climatologica,Litoral,Valparaiso,No,No,Rio Petorca a 1.4 Km S de la estacion met.,Estacion Automatica (FDF)
393,320082  ,,"Petorca, Manuel Montt",-32.32278,-71.06111,322,0,FDF,14-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Rio Petorca a 1.2 Km N de la estacion met. Estacion a pocos metros de la carretera.,Estacion Automatica (FDF)
394,320083  ,,Cabildo,-32.36222,-70.81972,551,0,FDF,14-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Rodeado de predios agricolas.,Estacion Automatica (FDF)
395,320084  ,,"La Ligua, El Guindo",-32.35722,-71.34556,21,0,FDF,14-10-2019,Automatica,Climatologica,Litoral,Valparaiso,No,No,"Valle con predios agricolas, 8km al oeste borde costero.",Estacion Automatica (FDF)
396,320085  ,,"Cabildo, Petorca",-32.39611,-71.02944,260,0,FDF,14-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Estero Contunco a 100 mts Este de la estacion met. Poca vegetacion.,Estacion Automatica (FDF)
397,320086  ,,"Cabildo, San Lorenzo",-32.43944,-71.00306,248,0,FDF,11-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,valle con abundantes predios agricolas.,Estacion automatica (FDF)
398,320087  ,,"Cabildo, Las Puertas",-32.48278,-70.93333,338,0,FDF,11-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector con predios agricolas.,Estacion automatica (FDF)
399,320088  ,,"Cabildo, Paihuen",-32.37917,-70.84167,506,0,FDF,11-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector rodeado de cerros de aprox. 500 mtrs altura,Estacion automatica (FDF)
400,320089  ,,"San Felipe, Curimon",-32.80000,-70.70028,701,0,FDF,11-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector agricola,estacion automatica (FDF)
401,320090  ,,Rinconada,-32.83694,-70.69250,726,0,FDF,10-10-2019,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,"Valle en sector precordillerano, con abundantes predios agricolas.",Estacion automatica (FDF)
402,320091  ,,"La Ligua, La Higuera",-32.49278,-71.15278,140,0,FDF,10-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Valle con predios agricolas y cerros de aproximadamente 600 mtrs de altura.,Estacion automatica (FDF)
403,320092  ,,Putaendo,-32.59361,-70.72611,878,0,FDF,09-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Valle rodeado de abundantes predios agricolas. Cerros de aprox. 500 mtrs de altura.,Estacion automatica (FDF)
404,320093  ,,Santa Maria,-32.74917,-70.66028,713,0,FDF,09-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector urbano, con predios agricolas",Estacion automatica (FDF)
405,320094  ,,Panquehue,-32.75667,-70.80889,554,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,valle rodeado de cerros de aprox. 900 mtrs,Estacion automatica
406,320095  ,,Llay Llay,-32.90333,-70.95055,442,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector de predios agricolas,Estacion automatica (FDF)
407,320096  ,,Quillota,-32.89250,-71.20667,142,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector urbano, con predios agricolas",Estacion automatica (FDF)
408,320097  ,,La Cruz,-32.84305,-71.21278,153,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector agricola rodeado de cerros de aprox. 400 mtrs altura.,Estacion automatica (FDF)
409,320098  ,,Hijuelas,-32.84806,-71.06694,330,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector rodeado de cerros de aprox 800 mtrs altura,Estacion automatica (FDF)
410,320099  ,,Limache,-32.99444,-71.26055,91,0,FDF,08-10-2019,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector urbano.,Estacion automatica (FDF)
411,320100  ,,Puchuncavi,-32.73111,-71.42417,25,0,FDF,08-10-2019,Automatica,Climatologica,Litoral,Valparaiso,No,No,Sector urbano 700 mtrs al SE.,Estacion automatica
412,320101  ,,"Los Andes, Los Espinos",-32.89028,-70.38222,"1,198",0,FDF,08-10-2019,Automatica,Climatologica,Cordillera,Valparaiso,No,No,Sector cordillerano,Estacion automatica (FDF)
413,320102  ,,San Esteban,-32.75055,-70.55750,950,0,FDF,08-10-2019,Automatica,Climatologica,Cordillera,Valparaiso,No,No,"Sector con abundante vegetacion, predios agricolas",Estacion automatica (FDF)
414,320103  ,,"Resguardo los Patos, Putaendo",-32.50000,-70.58000,"1,2",0,DGA,14-09-2020,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,Rio Putaendo a 175 mts Sur de la estacion met.,Estacion Automatica
415,320104  ,,"Estero Pocuro en el Sifon, Calle Larga",-32.92000,-70.54000,1,0,DGA,14-09-2020,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,Estero Pocuro a 200 mts Oeste de la estacion met.,Estacion automatica
416,320105  ,,"El Tartaro, Putaendo",-32.57000,-70.70000,950,0,DGA,14-09-2020,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,Rodeado de predios agricolas.,Est. automatica
417,320106  ,,"El Cobre, Nogales",-32.65000,-71.20000,280,0,DGA,14-09-2020,Automatica,Climatologica,Secano Costero,Valparaiso,No,No,Rodeado de predios agricolas,Estacion automatica
418,320107  ,,"Jahuel, Santa Maria",-32.68000,-70.60000,"1,02",0,DGA,14-09-2020,Automatica,Climatologica,PreCordillera,Valparaiso,No,No,Vallle con predios agricolas rodeado de cerros de aprox 120 mtrs altura.,Estacion automatica
419,320108  ,,Catemu DGA,-32.73000,-70.93000,440,0,DGA,14-09-2020,Automatica,Climatologica,Valle,Valparaiso,No,No,Valle con predios agricolas con cumbres de aprox 600 mtrs altura.,Estacion automatica
420,320109  ,,San Felipe,-32.75000,-70.72000,640,0,DGA,14-09-2020,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector urbano, 500 mtrs al WSW Plaza de San Felipe",Estacion automatica
421,320110  ,,"Lo Rojas, La Cruz",-32.81000,-71.27000,190,0,DGA,14-09-2020,Automatica,Climatologica,Secano Costero,Valparaiso,No,No,"Sector de predios agricolas, 4400 mtrs al ESE, plaza de La Cruz",Estacion automatica
422,320111  ,,Los Andes,-32.83000,-70.60000,820,0,DGA,14-09-2020,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector urbano, 500 mtrs al SE plaza de Los Andes",Estacion automatica
423,320112  ,,"Estero Rabuco, Hijuelas",-32.85000,-71.12000,295,0,DGA,14-09-2020,Automatica,Climatologica,Secano Costero,Valparaiso,No,No,Sector rural con abundantes predios agriocolas,Estacion automatica
424,320113  ,,"Riecillos, Los Andes",-32.92000,-70.36000,"1,29",0,DGA,14-09-2020,Convencional,Climatologica,Cordillera,Valparaiso,No,No,"Sector cordillerano, con cumbres de altura de aprox 2000 mtrs de altura",Estacion automatica
425,320114  ,,"Las Chilcas, Llai Llay",-32.93000,-70.82000,850,0,DGA,15-09-2020,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector cordillera de la Costa, 800 mtrs al este panamericana norte",Estacion automatica
426,320115  ,,"Los Aromos, Limache",-32.96000,-71.35000,100,0,DGA,15-09-2020,Automatica,Climatologica,Valle,Valparaiso,No,No,"Sector arido, 2 km al WSW, embalse los Aromos,",Estacion automatica
427,320116  ,,Quilimari,-32.11917,-71.46000,27,0,INIA,01-09-2020,Automatica,Climatologica,Litoral,Coquimbo,No,No,Lugar con predios agricolas.,Estacion Automatica
428,320117  ,,Tenencia Puchuncavi,-32.71889,-71.40806,45,0,DMC,25-03-2021,Automatica,Cielometrica,Litoral,De La Araucania,No,No,"Sector urbano ubicado en recinto Carabineros de Chile, 4 Km WNW del borde costero.",Nefobasimetro Automatico
429,320118  ,,San Felipe escuela agricola FDF,-32.75556,-70.70694,667,0,FDF,13-04-2021,Automatica,Climatologica,Valle,Valparaiso,No,No,"Zona urbana, actividad agricola",Estacion Automatica
430,320119  ,,Catemu FDF,-32.77111,-70.95389,424,0,FDF,18-10-2001,Automatica,Climatologica,Valle,Valparaiso,No,No,Sector rural de abundantes predios agricolas,Estacion automatica (FDF)
431,320901  ,SCXT,Cristo Redentor,-32.82500,-70.07083,"3,837",0,DMC,01-02-1950,Convencional,Climatologica,Cordillera,Valparaiso,No,No,Sector cordillerano.,Funcionario Cristo Redentor
432,320909  ,,"Lo Calvo reten, Los Andes",-32.75167,-70.60555,787,0,DMC,01-05-1962,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector rodeado de predios agricolas,Carabineros de Chile
433,320910  ,,"Los Condores reten, Pichidangui",-32.11667,-71.31667,200,0,DMC,01-01-1970,Convencional,Climatologica,Secano Costero,Coquimbo,No,No,"Sector rural, valle ubicado entre cerros de aprox. 300 mtrs altura.",Carabineros de Chile
434,320911  ,,Maitencillo reten,-32.64778,-71.43861,13,0,DMC,01-01-1970,Convencional,Pluviometrica,Litoral,Valparaiso,No,No,Sector costero.,Carabineros de Chile
435,320913  ,,"Pichidangui, Los Condores fundo",-32.12722,-71.31694,214,0,DMC,01-01-1964,Convencional,TermoPluviometrica,Valle,Coquimbo,No,No,Valle rodeoado de cerros de aprox. 500 mtrs altura.,Observador Fundo Los Condores
436,320922  ,,Chincolco reten,-32.21667,-70.83333,664,0,DMC,01-08-1918,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector precordillerano,Carabineros de Chile
437,320934  ,,La Vega (Petorca),-32.21667,-70.86667,587,0,DMC,01-01-1922,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector rodeado de cerros.,Observador La Vega
438,330001  ,,Limache Esval,-33.00611,-71.28389,121,0,DMC,01-01-1912,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector urbano,Funcionario ESVAL
439,330002  ,SCVA,Punta Angeles faro,-33.02278,-71.64750,51,0,DIRECTEMAR,01-01-1869,Mixta,Sinoptica,Litoral,Valparaiso,No,Si,"Al Sur cementerio a 10 mtrs, ubicada en zona urbana",Funcionario Armada de Chile (Zona Naval de Valparaiso)
440,330003  ,SCBL,El Belloto Ad.,-33.04750,-71.41667,121,0,DMC,01-03-1950,Convencional,Aeronautica,Valle,Valparaiso,No,No,"Antes forestal, actualmente sector urbano.",Observador Meteorologico de la Armada de Chile.
441,330004  ,,Villa Alemana,-33.05250,-71.36750,190,0,DMC,01-06-1917,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Ubicada en sector urbano.,Luis Aravena Estay
442,330005  ,,Quilpue Esval,-33.05639,-71.46028,198,0,DMC,01-03-1918,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector urbano,Nelson campusano Manriquez
443,330006  ,,"Jardin Botanico (ex Parque Fauna), Vina del Mar",-33.04500,-71.50194,50,0,DMC,01-01-1959,Automatica,Climatologica,Secano Costero,Valparaiso,No,No,Sector rodeado de cerros.,Est. automatica (Red Basica). contacto Sr. Juan Cortes - Cristian Lopez
444,330007  ,SCRD,"Rodelillo, Ad.",-33.06528,-71.55639,330,"2,2",DMC,01-07-1965,Mixta,Aeronautica,Litoral,Valparaiso,Si,No,Ubicada en cerro 330 mtrs. de altura.,Sergio Cortez Cesped
445,330008  ,,Punta Curahumilla,-33.10000,-71.73917,51,0,DMC,01-01-1913,Convencional,Pluviometrica,Litoral,Valparaiso,No,No,"Ubicado en la costa, hacia el Este abundante vegetacion",Funcionario Armada de Chile
446,330009  ,,Marga Marga,-33.06361,-71.36750,172,0,DMC,01-08-1917,Convencional,Pluviometrica,Valle,Valparaiso,No,No,Sector urbano.,Maria Espinoza Escalona
447,330010  ,,Peldehue regimiento,-33.19583,-70.67083,619,0,DMC,01-11-1971,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,"Sector Rural, rio Colina al Este a 1 km, Cerro la Guaca al sur a 1,5 Km.",Jorge Escobedo Silva
448,330011  ,,Batuco reten,-33.23861,-70.80917,493,0,DMC,01-05-1938,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,"Sector urbano, 3 km al NW laguna Batuco",carabineros de Chile
449,330012  ,,Valle Hermoso fundo,-33.29500,-70.68139,539,0,DMC,01-09-1956,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,"Valle, sector rural, rio Colina 10 Km al Norte",Maria Leon Valdes
450,330013  ,,Los Rulos fundo,-33.28556,-70.67000,551,0,DMC,01-01-1963,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,Sector rural.,Veronica Valdes L.
451,330014  ,,Casablanca Esval,-33.32333,-71.39944,268,0,DMC,01-10-1918,Convencional,Pluviometrica,Secano Costero,Valparaiso,No,No,Sector urbano,Jorge Grossi
452,330015  ,,Huinganal fundo,-33.34889,-70.51444,854,0,DMC,01-05-1956,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,"Mall Portal La Dehesa a 1 km al SW, Sector urbano.",Ricardo Girardi de Esteve
453,330016  ,,Central Florida,-33.54556,-70.54028,760,0,DMC,01-01-1913,Convencional,TermoPluviometrica,Valle,Metropolitana de Santiago,No,No,"900 Mtrs al Sw, sector urbano, cerro al este de aprox. 900 mtrs.",Sr . Luis Delgado
454,330017  ,,Villa el Dorado,-33.38972,-70.55583,728,0,DMC,01-01-1962,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,Sector Urbano,Karl Schanz
455,330018  ,,Curacavi tenencia,-33.40194,-71.12305,208,0,DMC,01-01-1934,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,Zona urbana rodeada de cerros de aprox. 500 mtrs de altura,Carabineros de Chile
456,330019  ,SCTB,"Eulogio Sanchez, Tobalaba Ad.",-33.45528,-70.54861,650,6,DMC,11-10-1954,Mixta,Aeronautica,PreCordillera,Metropolitana de Santiago,Si,No,"Ubicada entre cerros, Cerro San Ramon a 2.6 Km al Este",Juan Oyarce Villagra
457,330020  ,SCQN,"Quinta Normal, Santiago",-33.44500,-70.68278,520,"1,5",DMC,01-01-1849,Mixta,Sinoptica,Valle,Metropolitana de Santiago,No,Si,"Localizada en la ciudad de Santiago, al frente de parque Quinta Normal",Veronica Soto.
458,330021  ,SCEL,Pudahuel Santiago,-33.37833,-70.78778,482,"5,7",DMC,01-02-1967,Mixta,Sinoptica Aeronautica,Valle,Metropolitana de Santiago,Si,Si,Aeropuerto Internacional Arturo Merino Benitez - Sector Rural,Claudia Ponce Cisterna (Anexo 3224)
459,330022  ,,Lo Aguirre,-33.45250,-70.93083,561,0,DMC,01-09-1972,Convencional,Climatologica,Valle,Metropolitana de Santiago,No,No,Valle rodeado de cerros de aprox. 900 mtrs de altura.,Ejercito de Chile
460,330023  ,SCTI,Los Cerrillos ad.,-33.49472,-70.70389,519,0,DMC,01-01-1950,Convencional,Sinoptica Aeronautica,Valle,Metropolitana de Santiago,No,No,Sector urbano,Observador Meteorologico
461,330024  ,,Quebrada de la Plata,-33.53333,-70.76667,600,0,DMC,01-01-1965,Convencional,Pluviometrica,Valle,Metropolitana de Santiago,No,No,Sector urbano,Antonio Tapia Alonso
462,330025  ,,Central Maitenes reten,-33.53694,-70.26583,"1,207",0,DMC,01-12-1928,Convencional,TermoPluviometrica,PreCordillera,Metropolitana de Santiago,No,No,Sector precordillerano,Carabineros de Chile
463,330026  ,,La Platina ( INIA ),-33.57278,-70.61972,630,0,INIA,01-04-1965,Automatica,Climatologica,Valle,Metropolitana de Santiago,No,No,"Zona agricola, ubicada en la comuna de La Granja",funcionario I.N.I.A.
464,330027  ,SCBQ,El Bosque Base Aerea,-33.56250,-70.68500,574,0,DMC,01-07-1937,Convencional,Aeronautica,Valle,Metropolitana de Santiago,No,No,Sectort urbano.,Observador Meteteorologico Fuerza Aerea de Chile
465,330028  ,,Punta Panul Faro,-33.57500,-71.62500,89,0,DIRECTEMAR,01-06-1938,Mixta,Sinoptica,Litoral,Valparaiso,No,Si,"Sector costero, con edificaciones a 100 mtrs al oeste, 300 Mtrs al Este cementerio San Antonio.",Funcionario Armada de Chile
